time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-25 00:00:00+00:00,2,2,1.0,1.0
2023-03-26 00:00:00+00:00,5,5,12.0,4.0
2023-03-27 00:00:00+00:00,2,2,85.0,14.0
2023-03-28 00:00:00+00:00,1,1,49.0,7.0
2023-03-29 00:00:00+00:00,2,2,6.0,3.0
2023-03-30 00:00:00+00:00,3,3,,
2023-03-31 00:00:00+00:00,1,1,10.0,3.0
2023-04-01 00:00:00+00:00,1,1,7.0,4.0
2023-04-02 00:00:00+00:00,1,1,6.0,2.0
2023-04-03 00:00:00+00:00,2,2,1.0,1.0
2023-04-04 00:00:00+00:00,1,1,2.0,2.0
2023-04-05 00:00:00+00:00,2,2,2.0,2.0
2023-04-06 00:00:00+00:00,2,2,1.0,1.0
