time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,13,3,,
2025-10-23 00:00:00+00:00,7,2,5.0,3.0
2025-10-24 00:00:00+00:00,12,6,39.0,7.0
2025-10-25 00:00:00+00:00,2,2,12.0,4.0
2025-10-26 00:00:00+00:00,7,2,24.0,6.0
2025-10-27 00:00:00+00:00,2,2,16.0,5.0
2025-10-28 00:00:00+00:00,8,3,24.0,8.0
2025-10-29 00:00:00+00:00,8,3,23.0,4.0
2025-10-30 00:00:00+00:00,6,5,9.0,4.0
2025-10-31 00:00:00+00:00,5,5,99.0,16.0
2025-11-01 00:00:00+00:00,4,4,68.0,13.0
2025-11-02 00:00:00+00:00,1,1,68.0,12.0
2025-11-03 00:00:00+00:00,18,8,610.0,149.0
2025-11-04 00:00:00+00:00,1,1,482.0,126.0
