time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-26 00:00:00+00:00,1.0,1.0,4,2
2024-10-27 00:00:00+00:00,,,6,2
2024-10-29 00:00:00+00:00,,,20,4
2024-10-30 00:00:00+00:00,,,7,1
2024-10-31 00:00:00+00:00,4.0,2.0,4,2
2024-11-01 00:00:00+00:00,,,1,1
2024-11-02 00:00:00+00:00,,,1,1
2024-11-03 00:00:00+00:00,,,2,2
2024-11-04 00:00:00+00:00,1.0,1.0,9,4
2024-11-05 00:00:00+00:00,,,29,5
2024-11-06 00:00:00+00:00,3.0,1.0,8,2
2024-11-07 00:00:00+00:00,,,10,4
2024-11-08 00:00:00+00:00,,,5,2
