time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-14 00:00:00+00:00,2,2,10.0,2.0
2025-08-15 00:00:00+00:00,4,4,4.0,2.0
2025-08-16 00:00:00+00:00,1,1,,
2025-08-17 00:00:00+00:00,5,5,12.0,2.0
2025-08-18 00:00:00+00:00,2,2,17.0,4.0
2025-08-19 00:00:00+00:00,5,5,2.0,1.0
2025-08-20 00:00:00+00:00,1,1,2.0,1.0
2025-08-21 00:00:00+00:00,1,1,32.0,4.0
2025-08-22 00:00:00+00:00,1,1,5.0,3.0
2025-08-23 00:00:00+00:00,2,2,7.0,4.0
2025-08-24 00:00:00+00:00,1,1,4.0,2.0
2025-08-25 00:00:00+00:00,2,2,9.0,2.0
2025-08-26 00:00:00+00:00,2,2,31.0,7.0
2025-08-27 00:00:00+00:00,1,1,58.0,7.0
