url_path,views_total,views_unique
/mariasfiraiala/SO-exam,13,12
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,7,4
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,6,4
/mariasfiraiala/SO-exam/tree/master/software-stack,5,3
/mariasfiraiala/SO-exam/tree/master/data,3,2
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,3,1
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,3,1
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,2,2
/mariasfiraiala/SO-exam/tree/master/io,2,2
/mariasfiraiala/SO-exam/tree/master,2,1
