time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-03 00:00:00+00:00,5.0,5.0,3302,106
2024-02-04 00:00:00+00:00,3.0,3.0,2040,148
2024-02-05 00:00:00+00:00,4.0,4.0,1575,114
2024-02-06 00:00:00+00:00,1.0,1.0,1490,99
2024-02-07 00:00:00+00:00,2.0,2.0,2037,100
2024-02-08 00:00:00+00:00,5.0,5.0,3080,136
2024-02-09 00:00:00+00:00,3.0,3.0,1480,121
2024-02-10 00:00:00+00:00,2.0,2.0,12,6
2024-02-11 00:00:00+00:00,3.0,3.0,66,5
2024-02-12 00:00:00+00:00,3.0,3.0,48,2
2024-02-13 00:00:00+00:00,2.0,2.0,19,3
2024-02-14 00:00:00+00:00,2.0,2.0,15,4
2024-02-15 00:00:00+00:00,2.0,2.0,42,7
2024-02-16 00:00:00+00:00,,,2,1
