url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,271,96
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,266,91
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,257,93
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,202,84
/mariasfiraiala/SO-exam,170,92
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,157,77
/mariasfiraiala/SO-exam/tree/master/compute,139,74
/mariasfiraiala/SO-exam/tree/master/io,136,69
/mariasfiraiala/SO-exam/tree/master,129,40
/mariasfiraiala/SO-exam/tree/master/data,124,65
