url_path,views_total,views_unique
/mariasfiraiala/SO-exam,33,18
/mariasfiraiala/SO-exam/tree/master/compute,14,5
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,14,3
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,12,6
/mariasfiraiala/SO-exam/tree/master/software-stack,12,3
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,11,5
/mariasfiraiala/SO-exam/tree/master/data,11,4
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,10,5
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,6,3
/mariasfiraiala/SO-exam/tree/master/app-interact,5,2
