url_path,views_total,views_unique
/mariasfiraiala/SO-exam,1197,266
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,558,184
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,480,185
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,471,184
/mariasfiraiala/SO-exam/tree/master/data,423,167
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,404,181
/mariasfiraiala/SO-exam/tree/master/compute,392,167
/mariasfiraiala/SO-exam/tree/master/software-stack,381,160
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,370,164
/mariasfiraiala/SO-exam/tree/master/io,352,165
