url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,205,25
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,190,28
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,185,39
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,183,33
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,139,25
/mariasfiraiala/SO-exam/tree/master/software-stack,116,35
/mariasfiraiala/SO-exam/tree/master/data,84,29
/mariasfiraiala/SO-exam/tree/master/io,77,21
/mariasfiraiala/SO-exam/tree/master/compute,75,22
/mariasfiraiala/SO-exam/tree/master/app-interact,70,20
