time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-23 00:00:00+00:00,1,1,94.0,10.0
2023-11-24 00:00:00+00:00,2,2,33.0,2.0
2023-11-25 00:00:00+00:00,2,2,4.0,3.0
2023-11-26 00:00:00+00:00,2,2,,
2023-11-27 00:00:00+00:00,4,4,1.0,1.0
2023-11-28 00:00:00+00:00,1,1,9.0,1.0
2023-11-29 00:00:00+00:00,2,2,4.0,3.0
2023-11-30 00:00:00+00:00,1,1,,
2023-12-01 00:00:00+00:00,2,2,15.0,1.0
2023-12-02 00:00:00+00:00,2,2,6.0,2.0
2023-12-03 00:00:00+00:00,2,2,47.0,1.0
2023-12-04 00:00:00+00:00,3,3,73.0,8.0
2023-12-05 00:00:00+00:00,3,3,27.0,5.0
2023-12-06 00:00:00+00:00,1,1,2.0,2.0
