url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,87,18
/mariasfiraiala/SO-exam/tree/master/software-stack,53,13
/mariasfiraiala/SO-exam,39,24
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,39,10
/mariasfiraiala/SO-exam/tree/master/compute,35,5
/mariasfiraiala/SO-exam/tree/master/app-interact,33,5
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,29,5
/mariasfiraiala/SO-exam/tree/master,23,8
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,19,5
/mariasfiraiala/SO-exam/tree/master/data,19,5
