url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/data/data-q&a.md,9,7
/mariasfiraiala/SO-exam,7,6
/mariasfiraiala/SO-exam/tree/master,7,3
/mariasfiraiala/SO-exam/tree/master/app-interact,4,2
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q&a.md,3,3
/mariasfiraiala/SO-exam/blob/master/extra/extra-q&a.md,2,2
/mariasfiraiala/SO-exam/tree/master/compute,2,2
/mariasfiraiala/SO-exam/tree/master/data,2,2
/mariasfiraiala/SO-exam/tree/master/extra,2,2
/mariasfiraiala/SO-exam/tree/master/software-stack,2,2
