url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,1057,163
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,1040,160
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,984,156
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,808,146
/mariasfiraiala/SO-exam/tree/master/compute,597,134
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,574,123
/mariasfiraiala/SO-exam/tree/master/data,527,131
/mariasfiraiala/SO-exam/tree/master/software-stack,521,127
/mariasfiraiala/SO-exam/tree/master/io,477,118
/mariasfiraiala/SO-exam/tree/master/app-interact,352,96
