url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,157,20
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,146,24
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,145,25
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,133,29
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,113,20
/mariasfiraiala/SO-exam/tree/master/software-stack,78,25
/mariasfiraiala/SO-exam/tree/master/data,58,22
/mariasfiraiala/SO-exam/tree/master/compute,55,20
/mariasfiraiala/SO-exam/tree/master/io,51,17
/mariasfiraiala/SO-exam/tree/master/app-interact,46,16
