url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q&a.md,27,5
/mariasfiraiala/SO-exam/blob/master/io/io-q&a.md,24,12
/mariasfiraiala/SO-exam/blob/master/compute/compute-q&a.md,15,9
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q&a.md,11,3
/mariasfiraiala/SO-exam,9,7
/mariasfiraiala/SO-exam/blob/master/data/data-q&a.md,9,7
/mariasfiraiala/SO-exam/tree/master/io,5,4
/mariasfiraiala/SO-exam/tree/master/data,4,2
/mariasfiraiala/SO-exam/tree/master/compute,2,2
/mariasfiraiala/SO-exam/tree/master,2,1
