url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,29,8
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,22,9
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,20,9
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,20,5
/mariasfiraiala/SO-exam/tree/master/software-stack,20,5
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,19,8
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,18,8
/mariasfiraiala/SO-exam,16,10
/mariasfiraiala/SO-exam/tree/master/compute,16,7
/mariasfiraiala/SO-exam/tree/master/data,16,7
