url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,201,24
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,188,27
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,179,37
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,177,31
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,133,23
/mariasfiraiala/SO-exam/tree/master/software-stack,110,32
/mariasfiraiala/SO-exam/tree/master/data,79,27
/mariasfiraiala/SO-exam/tree/master/compute,75,22
/mariasfiraiala/SO-exam/tree/master/io,75,21
/mariasfiraiala/SO-exam/tree/master/app-interact,63,19
