time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-17 00:00:00+00:00,13,3,,
2025-10-18 00:00:00+00:00,2,2,,
2025-10-19 00:00:00+00:00,11,3,2.0,1.0
2025-10-20 00:00:00+00:00,8,3,11.0,4.0
2025-10-21 00:00:00+00:00,21,6,23.0,8.0
2025-10-22 00:00:00+00:00,13,3,,
2025-10-23 00:00:00+00:00,7,2,5.0,3.0
2025-10-24 00:00:00+00:00,12,6,39.0,7.0
2025-10-25 00:00:00+00:00,2,2,12.0,4.0
2025-10-26 00:00:00+00:00,7,2,24.0,6.0
2025-10-27 00:00:00+00:00,2,2,16.0,5.0
2025-10-28 00:00:00+00:00,8,3,24.0,8.0
2025-10-29 00:00:00+00:00,8,3,23.0,4.0
2025-10-30 00:00:00+00:00,4,3,5.0,3.0
