url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,79,24
/mariasfiraiala/SO-exam/tree/master/data,54,17
/mariasfiraiala/SO-exam,29,21
/mariasfiraiala/SO-exam/tree/master/software-stack,19,5
/mariasfiraiala/SO-exam/tree/master,18,6
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,9,4
/mariasfiraiala/SO-exam/commit/d62faa845d673a7fe318c072ea38f8bf7545f2b3,2,2
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,2,1
/mariasfiraiala/SO-exam/watchers,1,1
