url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,2664,324
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,2198,309
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,1888,272
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,1688,263
/mariasfiraiala/SO-exam/tree/master/software-stack,1531,287
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,1425,253
/mariasfiraiala/SO-exam/tree/master/data,1263,263
/mariasfiraiala/SO-exam/tree/master/compute,1177,240
/mariasfiraiala/SO-exam,1116,446
/mariasfiraiala/SO-exam/tree/master/io,1061,218
