url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,40,11
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,39,11
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,24,3
/mariasfiraiala/SO-exam,22,16
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,21,5
/mariasfiraiala/SO-exam/tree/master/software-stack,17,6
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,16,4
/mariasfiraiala/SO-exam/tree/master/compute,13,5
/mariasfiraiala/SO-exam/tree/master/app-interact,12,6
/mariasfiraiala/SO-exam/tree/master/data,12,6
