url_path,views_total,views_unique
/mariasfiraiala/SO-exam,56,28
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,53,7
/mariasfiraiala/SO-exam/tree/master/software-stack,47,7
/mariasfiraiala/SO-exam/tree/master/io,25,8
/mariasfiraiala/SO-exam/tree/master/data,24,8
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,24,6
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,22,9
/mariasfiraiala/SO-exam/tree/master/compute,22,7
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,18,7
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,16,6
