url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,20,4
/mariasfiraiala/SO-exam,14,8
/mariasfiraiala/SO-exam/tree/master/software-stack,6,3
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,4,2
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,4,1
/mariasfiraiala/SO-exam/tree/master/data,4,1
/mariasfiraiala/SO-exam/commits,3,1
/mariasfiraiala/SO-exam/tree/master/extra,3,1
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,2,1
/mariasfiraiala/SO-exam/blob/master/README.md,2,1
