url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/io/io-q&a.md,672,234
/mariasfiraiala/SO-exam/blob/master/compute/compute-q&a.md,588,203
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q&a.md,531,179
/mariasfiraiala/SO-exam/blob/master/data/data-q&a.md,513,169
/mariasfiraiala/SO-exam,419,200
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q&a.md,347,143
/mariasfiraiala/SO-exam/tree/master/io,307,175
/mariasfiraiala/SO-exam/tree/master,281,120
/mariasfiraiala/SO-exam/tree/master/compute,265,152
/mariasfiraiala/SO-exam/tree/master/software-stack,243,136
