url_path,views_total,views_unique
/mariasfiraiala/SO-exam,24,11
/mariasfiraiala/SO-exam/tree/master/software-stack,23,6
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,16,8
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,16,6
/mariasfiraiala/SO-exam/tree/master/data,15,6
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,14,4
/mariasfiraiala/SO-exam/tree/master/compute,13,4
/mariasfiraiala/SO-exam/tree/master/app-interact,5,2
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,4,2
/mariasfiraiala/SO-exam/tree/master/io,4,2
