time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,1,1,19,4
2026-08-03 00:00:00+00:00,1,1,2,2
2026-08-04 00:00:00+00:00,13,6,2,2
2026-08-05 00:00:00+00:00,10,5,1,1
2026-08-06 00:00:00+00:00,22,8,1,1
2026-08-07 00:00:00+00:00,10,4,0,0
2026-08-08 00:00:00+00:00,9,5,6,2
2026-08-09 00:00:00+00:00,13,4,2,2
2026-08-10 00:00:00+00:00,7,7,4,2
2026-08-11 00:00:00+00:00,1,1,4,1
2026-08-12 00:00:00+00:00,9,4,1,1
2026-08-13 00:00:00+00:00,13,4,2,1
2026-08-14 00:00:00+00:00,15,6,2,2
2026-08-15 00:00:00+00:00,11,4,4,2
