time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-04 00:00:00+00:00,13.0,4.0,14,6
2025-12-05 00:00:00+00:00,6.0,6.0,20,7
2025-12-06 00:00:00+00:00,8.0,4.0,47,16
2025-12-07 00:00:00+00:00,9.0,5.0,190,35
2025-12-08 00:00:00+00:00,9.0,4.0,248,62
2025-12-09 00:00:00+00:00,14.0,7.0,179,56
2025-12-10 00:00:00+00:00,7.0,3.0,287,85
2025-12-11 00:00:00+00:00,2.0,2.0,677,173
2025-12-12 00:00:00+00:00,10.0,6.0,334,103
2025-12-13 00:00:00+00:00,3.0,3.0,83,21
2025-12-14 00:00:00+00:00,10.0,6.0,194,63
2025-12-15 00:00:00+00:00,10.0,5.0,697,172
2025-12-16 00:00:00+00:00,10.0,6.0,754,174
2025-12-17 00:00:00+00:00,,,116,39
