url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,1001,203
/mariasfiraiala/SO-exam,980,380
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,767,176
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,666,170
/mariasfiraiala/SO-exam/tree/master/software-stack,628,192
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,595,170
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,594,164
/mariasfiraiala/SO-exam/tree/master/compute,493,157
/mariasfiraiala/SO-exam/tree/master/data,489,168
/mariasfiraiala/SO-exam/tree/master/app-interact,456,163
