url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,53,11
/mariasfiraiala/SO-exam,51,28
/mariasfiraiala/SO-exam/tree/master/software-stack,38,11
/mariasfiraiala/SO-exam/tree/master/data,28,7
/mariasfiraiala/SO-exam/tree/master/compute,27,8
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,24,7
/mariasfiraiala/SO-exam/tree/master/io,22,8
/mariasfiraiala/SO-exam/tree/master/app-interact,21,7
/mariasfiraiala/SO-exam/tree/master,20,7
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,18,7
