time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,16,7,24,5
2026-05-11 00:00:00+00:00,1,1,17,3
2026-05-12 00:00:00+00:00,18,5,14,3
2026-05-13 00:00:00+00:00,26,7,5,2
2026-05-14 00:00:00+00:00,9,5,2,2
2026-05-15 00:00:00+00:00,40,13,1,1
2026-05-16 00:00:00+00:00,29,8,1,1
2026-05-17 00:00:00+00:00,1,1,5,5
2026-05-18 00:00:00+00:00,12,7,0,0
2026-05-19 00:00:00+00:00,10,5,0,0
2026-05-20 00:00:00+00:00,10,5,0,0
2026-05-21 00:00:00+00:00,16,7,0,0
2026-05-22 00:00:00+00:00,21,7,1,1
2026-05-23 00:00:00+00:00,21,8,4,1
